bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
মারকেট রোড
"কালীবাড়ী মন্দির মিঠাপুকুর, "
"পানগাঁও, "
"দেয়ানা, "
"কাশিমপুর পাইকাড় পাড়া, "
"ধানসিড়ী রেস্তোরা, "
"পূরব রসলপর ২নং সেত, "
"চিংড়ি পোনার আড়ত, "
"নূর মসজিদ, "
"ফায়ার সার্ভিস ও সিভিল ডিফেন্স, "
"নতুন বেলি গোলি, "
বন্দর সংযোগ সড়ক
য়াদবপুর রোড
"নতন বেলি গোলি, "
লালিয়ারহাট
"রোড নমবর ১২ পিসিকালচার হাউজিং সোসাইটি, "
"বারিধারা, "
"ডি ব্লক ৬ নং সড়ক, "
"সিলেট, "
"আঞ্জুমান মুফিদুল ইসলাম সড়ক, "
"কুঠিবয়রা আদর্শ গ্রন্থাগার, "
"মনোহরগঞ্জ উপজেলা পরিষদ, "
"পলাশ বুক ডিপো, "
"হাজী আমির কমপ্লেক্স, "
"চাদপর সদর উপজেলা, "
"ভৈরব স্টেডিয়াম সড়ক, "
"হাজী বাতেন মিয়ার বাড়ির গলি, "
"মুগাদি, "
"স্মৃতি রেস্ট হাউজ, "
"ইভা বিউটি পার্লার, "
"পল্লবী ২, "
"ঢাকা-ময়মনসিংহ, "
গেণডারিয়া নতন রাসতা
"শিলমান্দি, "
সোনাউল্লাহ-রমজানেরকান্দা সড়ক
"চৌধুরী বাড়ি, "
"হোটেল রয়েল, "
"সিংগাইর, "
"চান মিয়া মাধ্যমিক বিদ্যালয়, "
"দাউদকান্দি, "
"নুরানী জামে মসজিদ, "
"সড়ক ১৪ সেক্টর ১, "
"সফিউদ্দিন সুপার মার্কেট, "
"দেবহাটা, "
মিঠাপুকুর -ফুলবাড়ী রোড
"হাজী আব্দুল মোনাফ সওদাগর এন্ড সন্স, "
"ফোয়ারা, "
"সনামগঞজ-সিলেট মহাসড়ক, "
"জসিমউদ্দিন সড়ক, "
"ইন্সটিটিউট অব লাইভস্টক সাইন্স অ্যান্ড টেকনোলজি খুলনা, "
"বেদপুর, "
"বান্দ রোড, "
"সিলেট রেলওয়ে স্টেশন, "
"মুরাদনগর কেন্দ্রীয় ঈদগা ময়দান, "
"হরিপুর শাহী ঈদগাহ জামে মসজিদ, "
"পশচিম ইসলামনগর ৪ নং গলি, "
"ঈদ্গাহ জামে মসজিদ, "
"মেসার্স ভালুকা এন্টারপ্রাইজ, "
"জিয়া উদ্যান, "
"সানাই কমিউনিটি সেন্টার, "
"হামদর্দ ল্যাবরেটরিজ ওয়াকফ, "
"নিঝুম দ্বীপ টেলিকম, "
"পীরে কেবলা মুর্শিদে কামেল হযরত গাউছুল আজম বাবাজান কামাল-শামসুল ইসলাম মাইজ ভান্ডারী কেঃ কাঃ রহঃ 'এর পবিত্র মাজার শরিফ।, "
"আলীনগর বাজার, "
"সোনাপাতিল, "
"খানকায়ে শরীফ সড়ক, "
"কোর্ট বাজার, "
"আওরঙগজেব রোড, "
"ফরিদাবাদ, "
মার্কেট রোড
"নাজিমুদ্দিন স্কুল, "
"বিয়াশ, "
"ধনুসাড়া দৈনিক বাজার, "
"স্বাধীনতা চত্বর নাটোর।, "
পাইলিং
"নায়েম রোড, "
"শহরবারি, "
"মিরপুর শহীদ বুদ্ধিজীবী স্মৃতিসৌধ পার্ক, "
"নলগোলা, "
"বঙ্গভবন, "
"ফেনী-নোয়াখালী মহাসড়ক, "
"রাজরানী সুভাসিনী বালিকা উচ্চ বিদ্যালয়, "
"জাতীয় রাজস্ব বোর্ড, "
"লেপসা, "
"আকিজ সার্ভিস সেন্টার, "
"মাগুরা বাজার, "
"পযারিস রোড, "
"সড়ক ২সি, "
"ছৌদীয়া জামে মসজিদ পিয়াজুর রুট, "
"সেন্ট মার্টিন দ্বীপ বাতিঘর, "
"দৌলতপর উপজেলা, "
"মিডল্যান্ড কোঅপারেটিভ ব্যাংক, "
"শিকদার এস্টেট, "
"জিন্দাবাহার, "
"চিটাগং রোড বাস স্টপ, "
"নয়াপাড়া, "
"কুর্মিটোলা গলফ ক্লাব, "
"মিলিটারি কলেজিয়েট স্কুল খুলনা, "
মানকি-াউগড়া রোড়
"মূলাবাড়ী, "
"শহীদ তারেক সড়ক, "
"মনেশ্বর, "
"৩৮ নং দড়িকান্দি সরকারি প্রাথমিক বিদ্যালয়, "
"বড় টেংরা, "
"পূরব রসলপর ৭নং সড়ক, "
"মদন ব্রিজ, "
"নূর হারবাল বিউটি পার্লার অ্যান্ড বুটীক হাউস, "
"সুন্দরীপাড়া, "
"আরডিআরএস, "
"পাইটি জামে মসজিদ, "
"ফার্স্ট গেট, "
"ম্যাক মাস্টার ইংলিশ মিডিয়াম স্কুল, "
"মোহামমদপর, "
"বিনপি বাজার-আগারগাও পানির টযাংকি রোড, "
"নীলফামারী রেল স্টেশন, "
"পটিয়া হোটেল এন্ড রেস্টুরেন্ট, "
"ঠাকুরগাও রোড মাংসবাজার, "
"আশরাফাবাদ উচ্চ বিদ্যালয়ের বিপরীত গলি, "
"অগ্রনী ব্যাংক লিমিটেড, "
"ব্লক এফ সড়ক ১৭, "
"কেশরকোট, "
"আটিপাড়া তেরমখ সড়ক, "
"পুরন্দরপুর, "
"ব্যক্তিগত রেখা, "
"ফলপট্টি, "
"জাতিসংঘ গোলচককর, "
"সোনাখালী বাজার, "
"লেমর সেত, "
"রুচি বিলাস চাইনিজ এন্ড পার্টি সেন্টার, "
"আজিজ মহল্লা, "
"আল আরাফাহ্ ইসলামী ব্যাংক লিমিটেড, "
"বান্ধা বাজার, "
"পান্থকুঞ্জ, "
"রিয়াজবাগ, "
"ছাগলনাইয়া, "
"চারপাড়া জামে মসজিদ, "
"ডিওএইচএস সেনানিবাস মাঠ, "
"মাঝিরকান্দা, "
"কঠিবয়রা - ধবলিয়া রাসতা, "
"ধজী হামিদিয়া ফাযিল মাদ্রাসা, "
"কেন্দ্রীয় শহীদ মিনার, "
"দক্ষিণ মাদারটেক, "
"কুলাঘাট, "
"সাঘাটা, "
"মাইলজানী মাদ্রাছা, "
"স্কুল পাড়া জামে মসজিদ, "
"জলারবাতা, "
"গোপালকান্দি, "
"রায়েরবাগ, "
"মতিঝিল শাপলাচত্বর, "
"বাখুন্ডা, "
"কবরস্থান জামে মসজিদ, "
"কানসাট কলোনী জামিয়া মসজিদ, "
"মুরাদনগর, "
"খাগড়াছড়ি পার্বত্য জেলা পরিষদ পার্ক, "
ভ্রম্মকোপালিয়া
"সাখুয়া, "
"বলক ফ সড়ক ১৯, "
"চরফ্যাশন, "
"নুরের চালা, "
"জিরতলী, "
"মিরপর-১০ গোলচককর, "
"উচিতগবা, "
গোমতী বেড়িবাঁধ সড়ক
"বাংলাদেশ কৃষি ব্যাংক লিমিটেড, "
"মথুরা, "
"দরগা বাজার, "
"শায়েস্তাগঞ্জ নতুন ব্রীজ মসজিদ, "
"সিঙ্গিয়া, "
"কলেজ পাড়া জামে মসজিদ, "
"থানাপাড়া জামে মসজিদ, "
"টিসপি কলোনী সড়ক, "
"বাংলাদেশ ব্যাংক কলোনী, "
"চক বাজার, "
"সমন কমিউনিটি সেনটার সড়ক, "
"কড়ইয়া, "
হাজী ইজ্জত আলী মুন্সী বাড়ি সড়ক
"উদালিয়া, "
"রাউজান, "
"চট্টগ্রাম-কাপ্তাই মহাসড়ক, "
"পাড়েরহাট জামে মসজিদ, "
